Rooms,Price,Distance,Bedroom2,Bathroom,Landsize,BuildingArea,YearBuilt
3,752000.0,13.5,3.0,1.0,265.0,130.0,1993.0
3,580000.0,13.5,,,,,
3,725000.0,13.5,,,,,
4,758000.0,13.5,,,,,
2,440000.0,13.5,2.0,1.0,192.0,,
3,970000.0,13.5,,,,,
5,755000.0,13.5,3.0,2.0,596.0,,
4,985000.0,13.5,,,,,
3,700000.0,13.5,3.0,2.0,165.0,133.0,2009.0
2,509500.0,13.5,,,,,
3,830000.0,13.5,3.0,1.0,971.0,113.0,1960.0
2,462500.0,13.5,2.0,1.0,164.0,,2003.0
3,670000.0,13.5,3.0,2.0,657.0,,
2,675000.0,13.5,2.0,1.0,612.0,100.0,1975.0
3,1042000.0,13.5,3.0,2.0,612.0,174.0,1950.0
3,910000.0,13.5,3.0,1.0,775.0,,
4,773000.0,13.5,5.0,3.0,531.0,309.0,1980.0
3,715000.0,13.5,,,,,
3,810000.0,13.5,3.0,3.0,555.0,192.0,1980.0
3,715000.0,13.5,3.0,2.0,422.0,126.0,1995.0
3,790000.0,13.5,3.0,1.0,614.0,,
2,460000.0,13.5,,,,,
3,540000.0,13.5,2.0,2.0,161.0,101.0,2010.0
3,825000.0,13.5,3.0,2.0,293.0,102.0,1960.0
3,685000.0,13.5,3.0,1.0,579.0,113.0,1975.0
3,445000.0,13.5,,,,,
3,805000.0,13.5,3.0,1.0,623.0,,
2,510000.0,13.5,2.0,1.0,141.0,76.0,
3,612000.0,13.5,3.0,2.0,212.0,,
3,662000.0,13.5,3.0,1.0,612.0,,
4,978000.0,13.5,4.0,3.0,532.0,,
3,720000.0,13.5,3.0,1.0,585.0,,
2,474000.0,13.5,,,,,
2,490000.0,13.5,,,,,
3,405000.0,13.5,,,,,
3,715000.0,13.5,,,,,
3,671500.0,13.5,,,,,
4,765000.0,13.5,4.0,1.0,509.0,,
4,900000.0,13.5,4.0,2.0,628.0,146.0,1975.0
3,820000.0,13.5,,,,,
3,650000.0,13.5,,,,,
3,552000.0,13.5,,,,,
2,1275000.0,3.3,2.0,1.0,120.0,82.0,1900.0
2,1455000.0,3.3,2.0,1.0,159.0,,
3,2850000.0,3.3,3.0,2.0,211.0,198.0,1890.0
3,1850000.0,3.3,3.0,2.0,128.0,133.0,1890.0
2,1436000.0,3.3,2.0,1.0,130.0,81.0,1900.0
2,1110000.0,3.3,1.0,1.0,147.0,,1900.0
2,1550000.0,3.3,2.0,1.0,167.0,,
4,2300000.0,3.3,4.0,2.0,153.0,180.0,1880.0
3,1550000.0,3.3,3.0,2.0,718.0,,
3,1800000.0,3.3,3.0,2.0,132.0,159.0,1996.0
3,2485000.0,3.3,,,,,
2,2120000.0,3.3,2.0,1.0,199.0,107.0,1900.0
3,1800000.0,3.3,3.0,1.0,253.0,,
3,1800000.0,3.3,3.0,2.0,90.0,122.0,1900.0
2,1810000.0,3.3,2.0,1.0,240.0,,
3,2615000.0,3.3,3.0,2.0,177.0,181.0,1880.0
5,2100000.0,3.3,5.0,2.0,237.0,,
3,1300000.0,3.3,3.0,1.0,129.0,,
3,1370000.0,3.3,3.0,2.0,0.0,85.0,2000.0
2,1000000.0,3.3,2.0,1.0,288.0,,
3,2575000.0,3.3,3.0,2.0,228.0,,
2,1322500.0,3.3,2.0,1.0,149.0,98.0,1890.0
2,1562500.0,3.3,2.0,1.0,141.0,83.0,1890.0
3,2000000.0,3.3,3.0,2.0,211.0,147.0,1900.0
3,1900000.0,3.3,3.0,1.0,209.0,,1900.0
3,3010000.0,3.3,3.0,2.0,147.0,146.0,1890.0
4,2800000.0,3.3,4.0,3.0,327.0,254.0,1910.0
2,647000.0,3.3,2.0,1.0,0.0,,
3,2100000.0,3.3,2.0,1.0,120.0,123.0,1900.0
3,2000000.0,3.3,3.0,1.0,238.0,131.0,1890.0
1,442500.0,3.3,1.0,1.0,0.0,34.0,1970.0
4,4735000.0,3.3,4.0,2.0,330.0,207.0,1910.0
2,1340000.0,3.3,2.0,1.0,136.0,,
3,1801000.0,3.3,3.0,1.0,202.0,,
3,1532000.0,3.3,3.0,3.0,0.0,,
3,3755000.0,3.3,3.0,2.0,325.0,,
4,2140000.0,3.3,3.0,2.0,183.0,145.0,1880.0
2,1810000.0,3.3,,,,,
2,1750000.0,3.3,2.0,1.0,162.0,,
2,980000.0,3.3,2.0,1.0,79.0,68.0,1890.0
3,2030000.0,3.3,3.0,2.0,152.0,,
3,1740000.0,3.3,3.0,2.0,147.0,134.0,1890.0
3,2800000.0,3.3,3.0,3.0,0.0,,
1,985000.0,3.3,1.0,1.0,81.0,54.0,1900.0
4,2000000.0,6.4,3.0,2.0,853.0,263.0,1930.0
3,1110000.0,6.4,3.0,2.0,208.0,,2013.0
3,1492000.0,6.4,3.0,2.0,411.0,,
2,480000.0,6.4,,,,,
3,1304000.0,6.4,,,,,
4,1717500.0,6.4,4.0,2.0,599.0,203.0,1925.0
5,2840000.0,6.4,5.0,4.0,809.0,165.0,1910.0
2,525500.0,6.4,2.0,1.0,88.0,60.0,1960.0
2,805000.0,6.4,2.0,2.0,155.0,140.0,2004.0
2,465000.0,6.4,2.0,1.0,0.0,,
3,1480000.0,6.4,,,,,
3,2000000.0,6.4,3.0,3.0,686.0,,
3,1540000.0,6.4,3.0,1.0,592.0,,
2,590000.0,6.4,,,,,
2,820000.0,6.4,2.0,1.0,183.0,,
4,1830000.0,6.4,4.0,2.0,606.0,112.0,1970.0
4,2100000.0,6.4,4.0,2.0,575.0,271.0,2008.0
3,865000.0,6.4,3.0,1.0,180.0,131.0,2010.0
2,390000.0,6.4,2.0,1.0,0.0,60.0,1960.0
2,650000.0,6.4,0.0,1.0,0.0,,
2,512000.0,6.4,2.0,1.0,0.0,61.0,1965.0
3,1361000.0,6.4,,,,,
3,1310000.0,6.4,,,,,
3,570000.0,6.4,,,,,
3,1165000.0,6.4,3.0,1.0,979.0,,
2,530000.0,6.4,,,,,
4,1900000.0,6.4,4.0,2.0,556.0,272.0,1930.0
3,1485000.0,6.4,3.0,0.0,597.0,,
4,1950000.0,6.4,4.0,2.0,589.0,210.0,1920.0
3,520000.0,13.8,3.0,2.0,352.0,242.0,2015.0
5,1525000.0,13.8,5.0,3.0,729.0,268.0,2005.0
2,720000.0,13.8,2.0,1.0,292.0,125.0,2013.0
3,1120000.0,13.8,3.0,1.0,506.0,120.0,1930.0
4,780000.0,13.8,4.0,1.0,655.0,,
4,1780000.0,13.8,4.0,3.0,1057.0,220.0,1962.0
3,630000.0,13.8,2.0,1.0,311.0,94.0,1955.0
2,406000.0,13.8,2.0,1.0,65.0,,
3,660000.0,13.8,3.0,1.0,602.0,123.0,1955.0
3,683500.0,13.8,3.0,1.0,530.0,,
2,540000.0,13.8,,,,,
2,580000.0,13.8,2.0,1.0,225.0,93.0,1988.0
3,1335000.0,13.8,3.0,1.0,777.0,22.0,1953.0
3,800000.0,13.8,3.0,2.0,280.0,,1997.0
2,510000.0,13.8,2.0,1.0,127.0,76.0,1990.0
4,1070000.0,13.8,4.0,2.0,695.0,,
2,425000.0,13.8,2.0,1.0,115.0,57.0,1980.0
3,605000.0,13.8,3.0,2.0,230.0,,
3,705000.0,13.8,3.0,2.0,197.0,152.0,
2,391000.0,13.8,2.0,1.0,0.0,65.0,1965.0
2,440000.0,13.8,2.0,1.0,0.0,,
4,845000.0,13.8,4.0,1.0,745.0,130.0,1950.0
3,766000.0,13.8,,,,,
3,743000.0,13.8,3.0,2.0,211.0,176.0,
3,650000.0,13.8,,,,,
3,730000.0,13.8,3.0,2.0,69.0,141.0,2014.0
3,916500.0,13.8,,,,,
3,635000.0,13.8,3.0,1.0,625.0,,1960.0
2,620000.0,13.8,2.0,1.0,168.0,,
2,447000.0,13.8,2.0,1.0,137.0,77.0,1990.0
3,730000.0,13.8,3.0,2.0,70.0,,
3,678000.0,13.8,3.0,1.0,606.0,87.0,1950.0
2,580000.0,13.8,2.0,2.0,175.0,76.0,2013.0
3,712000.0,13.8,3.0,1.0,363.0,,
3,840000.0,13.8,3.0,2.0,534.0,136.0,1965.0
3,980000.0,13.8,3.0,1.0,724.0,,
4,1000000.0,13.8,,,,,
3,605100.0,13.8,3.0,2.0,265.0,,
3,880000.0,13.8,3.0,3.0,577.0,,
3,577000.0,13.8,3.0,2.0,205.0,113.0,2007.0
4,1030000.0,13.8,4.0,1.0,797.0,,
3,605000.0,13.8,3.0,1.0,181.0,,
3,685000.0,13.8,,,,,
3,753000.0,13.8,3.0,2.0,529.0,,
2,857000.0,13.8,2.0,2.0,675.0,100.0,1950.0
3,1500000.0,13.8,3.0,1.0,929.0,,
3,730000.0,13.8,3.0,2.0,70.0,3.0,2014.0
3,900000.0,13.8,3.0,1.0,697.0,,
3,740000.0,13.8,3.0,1.0,604.0,,
4,931000.0,13.8,4.0,2.0,532.0,,1970.0
2,535600.0,13.8,2.0,1.0,154.0,91.0,1996.0
5,1085000.0,11.1,5.0,3.0,592.0,251.0,1965.0
3,781000.0,11.1,3.0,1.0,533.0,117.0,1970.0
4,857500.0,11.1,,,,,
4,960000.0,11.1,,,,,
3,750000.0,11.1,3.0,1.0,554.0,,
2,421000.0,11.1,2.0,1.0,77.0,77.0,2009.0
3,1405000.0,11.1,3.0,1.0,655.0,,
3,683000.0,11.1,3.0,1.0,534.0,167.0,1967.0
3,623000.0,11.1,3.0,1.0,540.0,,
3,720000.0,11.1,3.0,2.0,0.0,130.0,2012.0
4,780000.0,11.1,,,,,
3,720000.0,11.1,,,,,
3,705000.0,11.1,,,,,
3,588000.0,11.1,3.0,1.0,328.0,118.0,1970.0
4,720000.0,11.1,,,,,
3,710000.0,11.1,3.0,1.0,540.0,116.0,1960.0
2,550000.0,11.1,,,,,
3,640000.0,11.1,,,,,
3,537500.0,11.1,,,,,
4,875000.0,11.1,3.0,1.0,559.0,169.0,1965.0
3,800000.0,11.1,,,,,
3,713500.0,11.1,,,,,
3,700000.0,11.1,3.0,1.0,554.0,,
2,551000.0,11.1,,,,,
3,685000.0,11.1,,,,,
2,640000.0,11.1,2.0,1.0,252.0,,1965.0
4,650000.0,11.1,4.0,1.0,558.0,,
3,925000.0,11.1,,,,,
3,670000.0,11.1,,,,,
3,680000.0,11.1,,,,,
3,765000.0,11.1,,,,,
3,675000.0,11.1,3.0,2.0,171.0,109.0,2012.0
3,708000.0,11.1,3.0,1.0,585.0,97.0,1960.0
3,656000.0,11.1,,,,,
4,883000.0,11.1,,,,,
4,965000.0,11.1,4.0,1.0,851.0,,
3,870000.0,11.1,,,,,
3,681000.0,11.1,,,,,
2,522500.0,11.1,,,,,
5,972000.0,11.1,,,,,
3,590000.0,11.1,,,,,
2,450000.0,11.1,,,,,
3,765000.0,11.1,,,,,
3,750000.0,11.1,,,,,
3,680000.0,11.1,3.0,1.0,551.0,,
2,510000.0,11.1,,,,,
3,770000.0,11.1,3.0,1.0,602.0,603.0,
3,923000.0,11.1,3.0,1.0,740.0,,
4,693000.0,11.1,4.0,2.0,315.0,170.0,2008.0
3,620000.0,11.1,5.0,2.0,276.0,100.0,2010.0
3,800000.0,11.1,,,,,
3,728500.0,11.1,3.0,1.0,531.0,157.0,1960.0
3,931000.0,11.1,3.0,2.0,590.0,160.0,1950.0
3,988000.0,11.1,3.0,1.0,715.0,,2008.0
3,590000.0,11.1,,,,,
3,590000.0,11.1,3.0,1.0,561.0,,
2,610000.0,11.1,2.0,1.0,691.0,,
3,815000.0,11.1,3.0,2.0,555.0,130.0,1960.0
4,970000.0,11.1,4.0,1.0,708.0,,
4,840000.0,11.1,,,,,
3,840000.0,11.1,,,,,
4,760000.0,11.1,4.0,1.0,668.0,,
3,852500.0,11.1,,,,,
4,847500.0,11.1,4.0,3.0,252.0,,
4,1200000.0,11.1,4.0,1.0,633.0,158.0,1960.0
3,630000.0,11.1,,,,,
3,700000.0,11.1,3.0,1.0,557.0,,
3,625000.0,11.1,3.0,1.0,536.0,,
2,292000.0,11.1,2.0,1.0,153.0,70.0,1970.0
3,640000.0,11.1,,,,,
3,800000.0,11.1,,,,,
2,599000.0,6.3,2.0,1.0,0.0,76.0,1964.0
2,550000.0,6.3,2.0,1.0,861.0,,
3,995000.0,6.3,3.0,2.0,0.0,100.0,1998.0
3,1205000.0,6.3,3.0,2.0,101.0,105.0,2000.0
3,2675000.0,6.3,,,,,
3,1939000.0,6.3,3.0,2.0,296.0,150.0,1889.0
1,421500.0,6.3,1.0,1.0,0.0,,
2,585000.0,6.3,,,,,
3,2050000.0,6.3,,,,,
3,1870000.0,6.3,3.0,1.0,217.0,116.0,1888.0
2,678000.0,6.3,2.0,1.0,0.0,,
3,1918000.0,6.3,3.0,2.0,0.0,165.0,1995.0
2,660000.0,6.3,2.0,1.0,0.0,,
3,2050000.0,6.3,3.0,2.0,205.0,116.0,1910.0
2,700000.0,6.3,2.0,1.0,0.0,,
2,3625000.0,6.3,3.0,2.0,0.0,,2006.0
4,3000000.0,6.3,4.0,2.0,1581.0,,1934.0
2,1930000.0,6.3,,,,,
5,1525000.0,6.3,8.0,2.0,693.0,,
3,735000.0,6.3,3.0,2.0,2113.0,14.0,1970.0
2,825000.0,6.3,2.0,1.0,0.0,,
3,1586000.0,6.3,2.0,2.0,246.0,,
2,645000.0,6.3,3.0,1.0,0.0,,1960.0
1,1435000.0,6.3,2.0,2.0,144.0,107.0,1900.0
1,280000.0,6.3,1.0,1.0,0.0,38.0,1975.0
1,400000.0,6.3,1.0,1.0,0.0,,
2,1780000.0,6.3,2.0,2.0,0.0,,
2,592500.0,6.3,2.0,1.0,0.0,73.0,1970.0
2,1210000.0,6.3,2.0,1.0,249.0,96.0,1910.0
4,2801000.0,6.3,4.0,2.0,624.0,222.0,1900.0
1,390000.0,6.3,1.0,1.0,881.0,,
3,1800000.0,6.3,3.0,2.0,405.0,121.0,1910.0
4,2200000.0,6.3,4.0,1.0,495.0,163.0,1900.0
1,324000.0,6.3,1.0,1.0,0.0,,
6,5525000.0,6.3,5.0,3.0,1491.0,516.0,1935.0
2,1125000.0,6.3,3.0,1.0,169.0,,
3,2250000.0,6.3,3.0,3.0,301.0,,
3,2360000.0,6.3,3.0,2.0,336.0,,
2,1900000.0,6.3,2.0,2.0,207.0,,
1,440000.0,6.3,1.0,1.0,0.0,53.0,1970.0
2,490000.0,6.3,2.0,1.0,0.0,,1966.0
3,2365000.0,6.3,3.0,2.0,316.0,,
3,1300000.0,6.3,2.0,1.0,212.0,106.0,1900.0
3,732000.0,6.3,3.0,2.0,0.0,,
2,704000.0,6.3,2.0,1.0,0.0,74.0,1969.0
2,620000.0,6.3,3.0,1.0,0.0,98.0,1970.0
3,1900000.0,6.3,3.0,1.0,328.0,108.0,1900.0
1,315000.0,6.3,1.0,1.0,0.0,,
3,1992000.0,6.3,,,,,
1,450000.0,6.3,1.0,1.0,0.0,,
2,710000.0,6.3,2.0,1.0,2471.0,80.0,1970.0
2,872000.0,6.3,2.0,1.0,1194.0,,1953.0
2,598000.0,6.3,2.0,1.0,0.0,88.0,1970.0
3,1285000.0,6.3,3.0,1.0,186.0,80.0,1920.0
4,3660000.0,6.3,4.0,3.0,421.0,,
2,520000.0,6.3,1.0,1.0,0.0,76.0,1970.0
4,2760000.0,6.3,,,,,
2,690000.0,6.3,,,,,
4,3625000.0,6.3,4.0,1.0,709.0,251.0,1900.0
4,4200000.0,6.3,4.0,3.0,563.0,333.0,2000.0
3,1101000.0,6.3,3.0,1.0,103.0,3.0,2000.0
3,3512500.0,6.3,3.0,2.0,617.0,285.0,1998.0
4,2000000.0,6.3,4.0,3.0,544.0,,
3,869000.0,6.3,2.0,1.0,0.0,91.0,1940.0
2,577000.0,6.3,,,,,
3,2865000.0,6.3,,,,,
5,2810000.0,6.3,5.0,2.0,617.0,,
2,565000.0,6.3,3.0,1.0,0.0,,
1,567000.0,6.3,1.0,1.0,0.0,53.0,2013.0
2,546000.0,6.3,2.0,0.0,0.0,,
2,471500.0,6.3,2.0,1.0,0.0,,1980.0
2,455000.0,5.9,3.0,1.0,0.0,,
3,940000.0,5.9,3.0,1.0,298.0,108.0,1920.0
2,467000.0,5.9,2.0,1.0,0.0,62.0,1980.0
3,895000.0,5.9,,,,,
3,1380000.0,5.9,3.0,2.0,277.0,174.0,1910.0
2,490000.0,5.9,2.0,1.0,423.0,62.0,1970.0
4,1850000.0,5.9,4.0,3.0,478.0,270.0,1900.0
3,1284000.0,5.9,3.0,1.0,623.0,,1938.0
3,971000.0,5.9,3.0,2.0,285.0,128.0,1900.0
2,710000.0,5.9,2.0,1.0,214.0,77.0,1890.0
6,2425000.0,5.9,6.0,3.0,1014.0,435.0,1887.0
2,750000.0,5.9,2.0,1.0,226.0,92.0,1920.0
2,840000.0,5.9,,,,,
2,1053000.0,5.9,2.0,1.0,269.0,109.0,1900.0
3,1377000.0,5.9,3.0,1.0,417.0,168.0,1900.0
3,970000.0,5.9,3.0,1.0,350.0,125.0,1904.0
2,940000.0,5.9,2.0,1.0,330.0,,
2,751000.0,5.9,2.0,1.0,118.0,79.0,1890.0
2,950000.0,5.9,2.0,1.0,173.0,102.0,1900.0
2,685000.0,5.9,2.0,1.0,228.0,90.0,1995.0
3,1230000.0,5.9,4.0,1.0,594.0,148.0,1960.0
2,636500.0,5.9,2.0,1.0,0.0,,
3,910000.0,5.9,3.0,1.0,317.0,,
2,872500.0,5.9,,,,,
2,770000.0,5.9,2.0,1.0,226.0,87.0,1900.0
2,490000.0,5.9,,,,,
3,960000.0,5.9,3.0,2.0,229.0,,2011.0
4,890000.0,5.9,4.0,1.0,300.0,185.0,1890.0
2,965000.0,5.9,2.0,1.0,170.0,,
4,1200000.0,5.9,,,,,
3,1440000.0,5.9,3.0,1.0,487.0,131.0,1900.0
2,955000.0,5.9,2.0,1.0,255.0,,
2,450000.0,5.9,2.0,1.0,0.0,,2010.0
3,801000.0,5.9,3.0,1.0,431.0,,1950.0
3,770000.0,5.9,,,,,
3,1000000.0,5.9,3.0,2.0,440.0,120.0,1955.0
3,1435000.0,5.9,3.0,2.0,532.0,147.0,1950.0
1,390000.0,5.9,1.0,1.0,0.0,58.0,1972.0
3,1425000.0,5.9,3.0,2.0,495.0,139.0,1920.0
3,925000.0,5.9,,,,,
4,1340000.0,5.9,3.0,2.0,683.0,232.0,1978.0
3,955000.0,5.9,3.0,1.0,263.0,117.0,1910.0
2,1075000.0,5.9,,,,,
4,1100000.0,5.9,4.0,2.0,559.0,195.0,1920.0
3,1255000.0,5.9,3.0,2.0,308.0,,
4,1483000.0,5.9,,,,,
2,432000.0,5.9,2.0,1.0,0.0,62.0,1978.0
4,1640000.0,5.9,4.0,3.0,562.0,204.0,1890.0
6,1430000.0,5.9,4.0,2.0,461.0,286.0,1900.0
2,610000.0,5.9,2.0,1.0,301.0,104.0,1995.0
3,940000.0,5.9,3.0,3.0,491.0,127.0,1950.0
3,890000.0,5.9,3.0,1.0,242.0,110.0,1920.0
4,1505000.0,5.9,,,,,
3,1180000.0,5.9,3.0,2.0,617.0,149.0,1930.0
4,1480000.0,5.9,4.0,2.0,597.0,180.0,1939.0
2,1150000.0,5.9,2.0,1.0,387.0,,
3,1350000.0,5.9,3.0,1.0,575.0,,
5,1905000.0,5.9,5.0,2.0,521.0,,
2,865000.0,5.9,2.0,2.0,146.0,132.0,2015.0
2,705000.0,5.9,2.0,2.0,113.0,,1998.0
2,442000.0,5.9,2.0,1.0,0.0,62.0,1975.0
2,540000.0,5.9,2.0,2.0,0.0,,
3,1037500.0,5.9,3.0,1.0,506.0,110.0,1920.0
3,1050000.0,5.9,3.0,2.0,318.0,160.0,2013.0
2,440000.0,5.9,2.0,1.0,0.0,65.0,1970.0
2,1010000.0,5.9,2.0,1.0,325.0,,
4,1430000.0,5.9,4.0,2.0,418.0,158.0,1900.0
2,570000.0,5.9,2.0,1.0,0.0,,
2,690000.0,5.9,2.0,1.0,0.0,,
4,1070000.0,5.9,,,,,
3,1291000.0,5.9,3.0,1.0,414.0,,
3,1130000.0,5.9,3.0,2.0,272.0,157.0,1900.0
3,1135000.0,5.9,3.0,1.0,296.0,104.0,1910.0
4,950000.0,5.9,4.0,2.0,298.0,147.0,1920.0
3,790000.0,5.9,3.0,2.0,0.0,148.0,
2,390000.0,5.9,2.0,1.0,1957.0,69.0,2012.0
4,1345000.0,5.9,4.0,1.0,552.0,155.0,1920.0
1,296000.0,5.9,,,,,
3,1381500.0,5.9,3.0,2.0,416.0,168.0,1900.0
3,940000.0,5.9,3.0,2.0,285.0,172.0,2011.0
3,995000.0,5.9,3.0,2.0,314.0,177.0,2010.0
3,1050000.0,5.9,3.0,1.0,536.0,,
3,786000.0,5.9,3.0,2.0,576.0,120.0,1940.0
2,705000.0,5.9,2.0,1.0,252.0,108.0,1910.0
3,660000.0,5.9,,,,,
2,760000.0,5.9,2.0,1.0,124.0,77.0,1900.0
3,487500.0,5.9,3.0,1.0,0.0,,1972.0
3,1125000.0,5.9,,,,,
3,1000000.0,5.9,3.0,2.0,200.0,144.0,2003.0
4,1110000.0,5.9,4.0,2.0,349.0,,1920.0
4,1300000.0,5.9,4.0,1.0,664.0,,
3,1060000.0,5.9,3.0,1.0,555.0,,
3,1410000.0,5.9,3.0,2.0,459.0,,
3,1305000.0,5.9,2.0,1.0,278.0,166.0,1900.0
3,932500.0,5.9,3.0,2.0,254.0,,
3,965000.0,5.9,3.0,1.0,216.0,,
3,1215000.0,5.9,3.0,1.0,452.0,175.0,1960.0
2,545000.0,5.9,2.0,1.0,194.0,71.0,1900.0
4,1800000.0,5.9,,,,,
3,840000.0,5.9,,,,,
4,1705000.0,5.9,4.0,2.0,598.0,273.0,2012.0
3,970000.0,5.9,2.0,1.0,194.0,,
2,925000.0,5.9,2.0,1.0,407.0,,
4,2650000.0,11.0,4.0,3.0,753.0,399.0,2015.0
2,1820000.0,11.0,,,,,
3,1670000.0,11.0,3.0,2.0,599.0,220.0,1930.0
3,955000.0,11.0,3.0,2.0,203.0,,
3,2050000.0,11.0,3.0,3.0,310.0,315.0,2014.0
2,500000.0,11.0,2.0,1.0,710.0,,2010.0
2,1575000.0,11.0,2.0,1.0,679.0,,
4,1991000.0,11.0,,,,,
3,1425000.0,11.0,,,,,
3,1555000.0,11.0,3.0,2.0,731.0,149.0,1935.0
2,1417000.0,11.0,,,,,
5,1850000.0,11.0,,,,,
3,780000.0,11.0,,,,,
4,1942000.0,11.0,,,,,
3,1100000.0,11.0,3.0,3.0,276.0,178.0,2004.0
3,1337000.0,11.0,3.0,1.0,583.0,112.0,1950.0
8,2950000.0,11.0,9.0,7.0,1472.0,618.0,2009.0
4,2215000.0,11.0,4.0,2.0,681.0,,1940.0
4,1880000.0,11.0,,,,,
3,1518000.0,11.0,3.0,2.0,516.0,145.0,1920.0
3,1710000.0,11.0,3.0,1.0,806.0,101.0,1950.0
3,1655000.0,11.0,3.0,1.0,780.0,152.0,1940.0
3,1340000.0,11.0,,,,,
3,1445000.0,11.0,,,,,
3,1500000.0,11.0,,,,,
4,1550000.0,11.0,4.0,2.0,780.0,180.0,1938.0
2,1356000.0,11.0,,,,,
3,1662000.0,11.0,3.0,2.0,351.0,228.0,2006.0
3,1665000.0,11.0,3.0,2.0,702.0,145.0,1945.0
2,1445000.0,11.0,2.0,1.0,704.0,,
3,1600000.0,11.0,,,,,
3,980000.0,11.0,,,,,
3,1300000.0,11.0,,,,,
5,3510000.0,11.0,5.0,5.0,755.0,444.0,2015.0
4,1730000.0,11.0,,,,,
3,968000.0,11.0,3.0,1.0,227.0,,
3,900000.0,11.0,3.0,2.0,153.0,110.0,1990.0
3,1570000.0,11.0,,,,,
3,1500000.0,11.0,3.0,1.0,545.0,,
3,1360000.0,11.0,,,,,
5,2752000.0,11.0,6.0,4.0,1075.0,390.0,2010.0
